epoch,train_logpx_z,train_kl,train_total,valid_logpx_z,valid_kl,valid_total
0,630.554,13.099,643.653,533.556,8.633,542.189
1,481.077,8.198,489.275,441.003,8.524,449.526
2,410.936,7.975,418.911,393.551,7.732,401.283
3,384.441,7.724,392.164,390.93,8.107,399.037
4,366.783,8.101,374.884,378.133,8.515,386.648
5,355.582,7.991,363.573,371.388,7.38,378.768
6,349.838,8.108,357.945,373.49,8.41,381.9
7,346.87,7.897,354.767,364.573,7.655,372.228
8,339.806,7.973,347.779,360.464,7.897,368.361
9,335.361,8.12,343.481,359.219,8.513,367.732
10,330.729,8.256,338.985,357.293,7.971,365.264
11,329.33,8.219,337.549,358.873,8.12,366.993
12,326.423,8.601,335.024,354.556,8.059,362.615
13,326.677,8.577,335.254,354.272,8.485,362.756
14,320.929,8.512,329.441,352.746,8.522,361.269
15,318.417,8.48,326.897,355.874,8.158,364.031
16,321.966,8.701,330.667,349.207,8.717,357.925
17,316.038,8.515,324.553,353.873,7.883,361.755
18,311.98,8.245,320.225,349.329,8.224,357.553
19,310.387,8.472,318.859,348.56,8.539,357.099
20,312.174,8.812,320.987,348.962,8.991,357.953
21,308.932,8.89,317.822,348.504,8.93,357.434
22,305.949,8.501,314.45,344.472,8.688,353.161
23,306.397,8.534,314.931,352.675,8.932,361.607
24,301.582,8.907,310.489,346.541,8.797,355.338
25,302.627,8.853,311.48,359.82,8.922,368.742
26,305.153,8.976,314.129,344.465,8.245,352.71
27,301.656,8.668,310.323,345.365,8.85,354.215
28,299.272,8.843,308.114,347.143,8.61,355.753
29,302.596,9.117,311.712,344.878,9.006,353.884
30,295.109,8.948,304.057,350.233,8.458,358.691
31,294.912,8.886,303.798,344.193,8.635,352.828
32,293.862,8.936,302.798,340.112,8.357,348.469
33,295.06,8.593,303.653,340.681,8.877,349.558
34,295.221,8.986,304.208,340.782,8.591,349.373
35,294.424,8.88,303.303,340.76,8.912,349.672
36,291.09,8.983,300.073,340.732,8.727,349.459
37,291.788,8.947,300.735,349.086,8.756,357.842
38,288.75,9.023,297.772,343.194,8.636,351.829
39,292.587,8.854,301.442,347.043,8.746,355.788
40,286.963,8.888,295.851,342.075,9.057,351.132
41,286.06,8.991,295.051,339.174,8.82,347.994
42,284.948,8.864,293.813,346.313,8.98,355.293
43,286.173,9.115,295.288,337.017,9.271,346.288
44,285.409,9.065,294.474,340.775,9.213,349.987
45,282.518,9.151,291.669,344.506,9.21,353.715
46,281.337,9.027,290.364,344.202,8.542,352.744
47,280.527,8.943,289.47,340.147,8.616,348.763
48,278.197,8.828,287.026,342.531,8.419,350.95
49,278.627,9.069,287.696,344.887,8.756,353.643
50,282.482,9.049,291.531,345.157,8.876,354.033
51,278.534,8.984,287.518,345.128,9.498,354.626
52,278.233,9.297,287.529,342.465,9.009,351.474
53,280.278,9.176,289.453,338.881,9.16,348.041
54,277.869,9.064,286.934,341.54,9.018,350.559
55,276.575,9.076,285.651,340.869,8.738,349.607
56,273.943,9.186,283.129,340.392,8.94,349.332
57,273.012,9.304,282.317,338.344,8.962,347.306
58,278.486,9.22,287.706,341.172,9.344,350.515
